timestamp,times,LU1,LU2,LU3,LU4,LU5,LU6,LU7,GX1-X,GX1-Y,GX2-X,GX2-Y,GX3-X,GX3-Y
20220809,21,1071.7864,1064.4645,943.9608,991.4547,1040.8884,1024.4761,854.5115,0.8949,-0.2443,2.8242,-0.1279,0.8949,-0.2443
20220809,21,1071.4847,1064.4603,943.6591,991.4687,1040.8892,1024.4843,854.5194,0.8949,-0.2443,2.8242,-0.1279,0.8949,-0.2443
20220809,21,1071.375,1064.4642,943.5494,991.4752,1040.8928,1024.4818,854.5322,0.8952,-0.2443,2.8242,-0.1279,0.8952,-0.2443
20220809,22,1071.9111,1064.4204,944.0855,991.4839,1040.8717,1024.4711,854.4783,0.8949,-0.2443,2.824,-0.1279,0.8949,-0.2443
20220809,22,1071.1532,1064.3955,943.3276,991.4379,1040.8539,1024.4897,854.4534,0.8949,-0.2443,2.8242,-0.1279,0.8949,-0.2443
20220809,22,1071.7833,1064.3711,943.9577,991.4008,1040.856,1024.4933,854.4506,0.8943,-0.2443,2.824,-0.1279,0.8943,-0.2443
20220809,22,1071.3216,1064.3735,943.496,991.4598,1040.8726,1024.5261,854.4889,0.8945,-0.2443,2.8242,-0.1279,0.8945,-0.2443
20220810,21,1071.6836,1064.4879,943.858,991.5408,1040.8839,1024.4962,854.5408,0.8949,-0.2443,2.824,-0.1279,0.8949,-0.2443
20220810,21,1071.9248,1064.4795,944.0992,991.5347,1040.8851,1024.5012,854.5383,0.8945,-0.2443,2.8247,-0.1279,0.8945,-0.2443
20220810,21,1071.3491,1064.4712,943.5235,991.4859,1040.8964,1024.4999,854.5425,0.8945,-0.2443,2.8242,-0.1279,0.8945,-0.2443
20220810,21,1071.9608,1064.4846,944.1352,991.4901,1040.879,0,0,0.8947,-0.2443,2.824,-0.1279,0.8947,-0.2443
20220810,21,1071.0817,1064.4761,943.2561,991.4712,1040.8833,1024.4769,854.5209,0.8945,-0.2443,2.8242,-0.1279,0.8945,-0.2443
20220810,21,1071.7695,1064.4763,943.9439,991.4858,1040.8977,0,0,0.8945,-0.2443,2.8242,-0.1279,0.8945,-0.2443
20220810,21,1071.6454,1064.4722,943.8198,991.5082,1040.8894,1024.4933,854.5308,0.8943,-0.2443,2.8242,-0.1279,0.8943,-0.2443
20220810,21,1071.9897,1064.467,944.1641,991.465,1040.8896,1024.4933,854.5178,0.8945,-0.2443,2.8245,-0.1279,0.8945,-0.2443
20220810,21,1071.6388,1064.4501,943.8132,991.4594,1040.8899,1024.4977,854.5319,0.8945,-0.2443,2.8242,-0.1279,0.8945,-0.2443
20220810,21,1071.1145,1064.4712,943.2889,991.486,1040.9031,1024.49,854.5195,0.8943,-0.2443,2.8242,-0.1279,0.8943,-0.2443
20220810,21,1071.7864,1064.4645,943.9608,991.4547,1040.8884,1024.4761,854.5115,0.8949,-0.2443,2.8242,-0.1279,0.8949,-0.2443
20220810,21,1071.4847,1064.4603,943.6591,991.4687,1040.8892,1024.4843,854.5194,0.8949,-0.2443,2.8242,-0.1279,0.8949,-0.2443
20220810,21,1071.375,1064.4642,943.5494,991.4752,1040.8928,1024.4818,854.5322,0.8952,-0.2443,2.8242,-0.1279,0.8952,-0.2443
20220810,22,1071.9111,1064.4204,944.0855,991.4839,1040.8717,1024.4711,854.4783,0.8949,-0.2443,2.824,-0.1279,0.8949,-0.2443
20220810,22,1071.1532,1064.3955,943.3276,991.4379,1040.8539,1024.4897,854.4534,0.8949,-0.2443,2.8242,-0.1279,0.8949,-0.2443
20220810,22,1071.7833,1064.3711,943.9577,991.4008,1040.856,1024.4933,854.4506,0.8943,-0.2443,2.824,-0.1279,0.8943,-0.2443
20220810,22,1071.3216,1064.3735,943.496,991.4598,1040.8726,1024.5261,854.4889,0.8945,-0.2443,2.8242,-0.1279,0.8945,-0.2443
