timestamp,LU1,LU2,LU3,LU4,LU5,LU6,LU7,GX1-X,GX1-Y,GX2-X,GX2-Y,GX3-X,GX3-Y
02/09/2022 06:27,1062.9154,1062.4941,944.014,983.9586,1039.2957,1019.608,847.6467,0.8895,-0.2443,2.8333,-0.1279,0.8895,-0.2443
02/09/2022 06:37,1062.9211,1062.4404,943.2761,983.8762,1039.2639,1019.602,847.7498,0.8898,-0.2443,2.833,-0.1279,0.8898,-0.2443
02/09/2022 06:48,1062.9414,1062.3669,943.7857,983.8287,1039.2054,1019.507,847.6175,0.8898,-0.2443,2.8326,-0.1279,0.8898,-0.2443
02/09/2022 06:58,1063.0701,1062.2936,943.4575,983.7149,1039.1953,1019.5316,847.5522,0.8895,-0.2443,2.833,-0.1279,0.8895,-0.2443
02/09/2022 07:08,1063.2533,1061.9469,943.4831,983.3378,1038.8203,1019.2388,847.1892,0.8898,-0.2443,2.8328,-0.1279,0.8898,-0.2443
02/09/2022 07:18,1063.6146,1061.4771,943.191,982.8661,1038.3644,1018.8816,846.7799,0.8895,-0.2443,2.833,-0.1279,0.8895,-0.2443
02/09/2022 07:29,1064.116,1061.1235,943.6883,982.5089,1038.0306,1018.5518,846.4891,0.8895,-0.2443,2.833,-0.1279,0.8895,-0.2443
02/09/2022 07:39,1064.7052,1060.9922,943.2235,982.4006,1037.9288,1018.4991,846.4258,0.8889,-0.2443,2.8335,-0.1279,0.8889,-0.2443
02/09/2022 07:49,1065.1338,1060.8395,943.1752,982.1359,1037.7367,1018.46,846.4552,0.8893,-0.2443,2.8326,-0.1279,0.8893,-0.2443
02/09/2022 07:59,1065.6407,1060.8749,943.7453,982.2307,1037.7754,1018.4984,846.5201,0.8886,-0.2443,2.8321,-0.1279,0.8886,-0.2443
02/09/2022 08:10,1066.1199,1060.946,943.4685,982.2374,1037.8253,1018.5704,846.6635,0.8889,-0.2443,2.8333,-0.1279,0.8889,-0.2443
02/09/2022 08:20,1066.3563,1060.6844,943.4354,981.9161,1037.5784,1018.3541,846.4376,0.8893,-0.2443,2.8333,-0.1279,0.8893,-0.2443
02/09/2022 08:30,1066.121,1060.5935,944.0765,981.692,1037.5118,1018.3269,846.34,0.8889,-0.2443,2.8337,-0.1279,0.8889,-0.2443
02/09/2022 08:41,1066.0778,1060.6946,943.2761,981.6748,1037.6292,1018.4649,846.5272,0.8893,-0.2443,2.8337,-0.1279,0.8893,-0.2443
02/09/2022 08:51,1066.2289,1060.7594,943.7832,981.7158,1037.861,1018.5817,846.6281,0.8895,-0.2443,2.8333,-0.1279,0.8895,-0.2443
02/09/2022 09:01,1066.3418,1060.9471,943.6991,981.8344,1038.2603,1018.8262,846.8745,0.8895,-0.2443,2.8337,-0.1279,0.8895,-0.2443
02/09/2022 09:11,1065.6521,1061.2267,943.762,982.0862,1038.7445,1019.1458,847.1678,0.8886,-0.2443,2.8339,-0.1279,0.8886,-0.2443
02/09/2022 09:22,1065.3593,1061.1105,944.0071,981.8361,1038.7598,1019.1288,847.075,0.8889,-0.2443,2.8335,-0.1279,0.8889,-0.2443
02/09/2022 09:32,1065.0244,1061.168,944.0466,981.8356,1038.8519,1019.3021,847.1202,0.8884,-0.2443,2.8333,-0.1279,0.8884,-0.2443
02/09/2022 09:42,1064.7493,1061.3285,943.2226,981.9396,1039.087,1019.6577,847.3599,0.8889,-0.2443,2.8342,-0.1279,0.8889,-0.2443
02/09/2022 09:52,1064.7106,1060.8329,944.1644,981.7474,1039.0247,1019.6729,847.2864,0.8884,-0.2443,2.8346,-0.1279,0.8884,-0.2443
02/09/2022 10:03,1065.0691,1060.9446,943.8205,981.8139,1039.1921,1020.0282,847.5579,0.8882,-0.2443,2.8344,-0.1279,0.8882,-0.2443
02/09/2022 10:13,1065.1438,1061.0176,943.7321,981.8367,1039.2609,1020.2324,847.6907,0.888,-0.2443,2.8348,-0.1279,0.888,-0.2443
02/09/2022 10:23,1065.577,1061.2468,944.0109,982.0436,1039.4996,1020.6237,848.0044,0.888,-0.2443,2.8348,-0.1279,0.888,-0.2443
02/09/2022 10:34,1065.946,1061.3054,943.889,982.0041,1039.4543,1020.6843,848.0812,0.8884,-0.2443,2.8353,-0.1279,0.8884,-0.2443
02/09/2022 10:44,1065.3302,1061.6123,943.6362,982.2084,1039.6812,1021.1371,848.5055,0.8875,-0.2443,2.8362,-0.1279,0.8875,-0.2443
02/09/2022 10:54,1065.4384,1061.8688,943.9759,982.3479,1039.8324,1021.3582,848.6423,0.8877,-0.2443,2.8351,-0.1279,0.8877,-0.2443
02/09/2022 11:04,1064.5419,1061.9187,943.6108,982.5483,1040.0652,1021.7126,848.9313,0.8875,-0.2443,2.8353,-0.1279,0.8875,-0.2443
02/09/2022 11:15,1065.3364,1062.1304,944.1256,982.5307,1040.0925,1021.8435,849.1168,0.8871,-0.2443,2.8353,-0.1279,0.8871,-0.2443
02/09/2022 11:25,1065.307,1062.4089,943.9689,982.5969,1040.1411,1021.9543,849.0903,0.8873,-0.2443,2.8355,-0.1279,0.8873,-0.2443
02/09/2022 11:35,1065.3754,1062.5503,943.2925,982.8578,1040.322,1022.2259,849.24,0.8871,-0.2443,2.8353,-0.1279,0.8871,-0.2443
02/09/2022 11:45,1065.5361,1062.6982,944.0564,982.8791,1040.3251,1022.2635,849.3127,0.8871,-0.2443,2.8353,-0.1279,0.8871,-0.2443
02/09/2022 11:56,1065.2891,1063.0383,943.8423,983.1043,1040.6016,1022.6335,849.5588,0.8866,-0.2443,2.8355,-0.1279,0.8866,-0.2443
02/09/2022 12:06,1064.7102,1062.9576,943.594,983.1403,1040.6279,1022.7073,849.6844,0.8862,-0.2443,2.8355,-0.1279,0.8862,-0.2443
02/09/2022 12:16,1065.1626,1063.1553,943.3154,983.0412,1040.5817,1022.6657,849.6398,0.8862,-0.2443,2.8355,-0.1279,0.8862,-0.2443
02/09/2022 12:27,1065.1957,1063.2815,943.5978,983.132,1040.647,1022.7355,849.7298,0.8862,-0.2443,2.836,-0.1279,0.8862,-0.2443
02/09/2022 12:37,1065.3573,1063.3901,943.7185,983.1616,1040.6155,1022.7164,849.7101,0.8862,-0.2443,2.836,-0.1279,0.8862,-0.2443
