timestamp,LU1,LU2,LU3,LU4,LU5,LU6,LU7,GX1-X,GX1-Y,GX2-X,GX2-Y,GX3-X,GX3-Y
23/08/2022 05:42,1065.9751,1063.4199,944.1064,983.053,1038.9979,1019.7757,851.201,0.8877,-0.2443,2.8333,-0.1279,0.8877,-0.2443
23/08/2022 05:53,1065.988,1063.4519,944.0411,982.9939,1039.0232,1019.7993,851.1815,0.8873,-0.2443,2.8333,-0.1279,0.8873,-0.2443
23/08/2022 06:03,1066.0117,1063.4291,943.1749,982.9019,1038.988,1019.7218,851.1191,0.8873,-0.2443,2.833,-0.1279,0.8873,-0.2443
23/08/2022 06:13,1066.0145,1063.3781,943.844,982.8256,1038.8895,1019.6401,851.0638,0.888,-0.2443,2.8335,-0.1279,0.888,-0.2443
23/08/2022 06:23,1066.0563,1063.5142,943.5024,982.814,1038.7911,1019.5338,850.9506,0.8877,-0.2443,2.833,-0.1279,0.8877,-0.2443
23/08/2022 06:34,1066.1582,1063.4347,943.9478,982.7523,1038.7343,1019.4706,850.9022,0.8875,-0.2443,2.8328,-0.1279,0.8875,-0.2443
23/08/2022 06:44,1066.2384,1063.3562,943.7408,982.6783,1038.6224,1019.3666,850.7764,0.8875,-0.2443,2.833,-0.1279,0.8875,-0.2443
23/08/2022 06:54,1066.3303,1063.2435,943.8062,982.4949,1038.4965,1019.2495,850.6401,0.8875,-0.2443,2.833,-0.1279,0.8875,-0.2443
23/08/2022 07:05,1066.401,1063.1836,943.4318,982.4203,1038.4308,1019.2014,850.5894,0.8882,-0.2443,2.833,-0.1279,0.8882,-0.2443
23/08/2022 07:15,1066.4695,1063.1382,943.4677,982.3212,1038.3849,1019.1436,850.5366,0.888,-0.2443,2.833,-0.1279,0.888,-0.2443
23/08/2022 07:25,1066.5405,1062.9304,943.8713,982.1959,1038.1809,1018.9866,850.3618,0.8882,-0.2443,2.8337,-0.1279,0.8882,-0.2443
23/08/2022 07:36,1066.6676,1062.7894,943.7226,982.0475,1037.9915,1018.8601,850.2343,0.888,-0.2443,2.833,-0.1279,0.888,-0.2443
23/08/2022 07:46,1067.0984,1062.405,943.32,981.6741,1037.6028,1018.4713,849.8472,0.8882,-0.2443,2.8333,-0.1279,0.8882,-0.2443
23/08/2022 07:56,1068.1337,1061.9309,944.0139,981.563,1037.4568,1018.3694,849.7552,0.8877,-0.2443,2.8335,-0.1279,0.8877,-0.2443
23/08/2022 08:07,1069.6667,1061.8605,943.9873,981.5331,1037.3428,1018.2751,849.6602,0.888,-0.2443,2.8335,-0.1279,0.888,-0.2443
23/08/2022 08:17,1070.3704,1061.7217,943.4241,981.4164,1037.1851,1018.1202,849.5277,0.8877,-0.2443,2.8344,-0.1279,0.8877,-0.2443
23/08/2022 08:27,1070.6345,1061.4088,943.6271,981.1555,1036.8501,1017.8425,849.2711,0.8877,-0.2443,2.8335,-0.1279,0.8877,-0.2443
23/08/2022 08:37,1071.4172,1061.4094,943.6728,981.1735,1036.8319,1017.796,849.2356,0.8875,-0.2443,2.8337,-0.1279,0.8875,-0.2443
23/08/2022 08:48,1071.9658,1061.5103,943.6261,981.2531,1036.8815,1017.9237,849.3945,0.8875,-0.2443,2.8337,-0.1279,0.8875,-0.2443
23/08/2022 08:58,1072.4231,1061.5208,943.4971,981.2327,1036.7885,1017.8739,849.3566,0.8877,-0.2443,2.8333,-0.1279,0.8877,-0.2443
23/08/2022 09:08,1072.8367,1061.5874,943.3925,981.3102,1036.8386,1017.9116,849.3834,0.8875,-0.2443,2.8342,-0.1279,0.8875,-0.2443
23/08/2022 09:19,1073.0878,1061.542,943.461,981.3847,1036.7014,1017.8191,849.3616,0.8866,-0.2443,2.8335,-0.1279,0.8866,-0.2443
23/08/2022 09:29,1073.1481,1061.4141,943.4802,981.1711,1036.5045,1017.6684,849.2336,0.8871,-0.2443,2.8339,-0.1279,0.8871,-0.2443
23/08/2022 09:39,1073.3119,1061.4128,943.7273,981.1726,1036.4547,1017.6705,849.2659,0.8871,-0.2443,2.8344,-0.1279,0.8871,-0.2443
23/08/2022 09:50,1073.4583,1061.6266,944.1075,981.3735,1036.526,1017.7379,849.4795,0.8871,-0.2443,2.8346,-0.1279,0.8871,-0.2443
23/08/2022 10:00,1073.5336,1061.8053,943.6357,981.5792,1036.6797,1017.959,849.7097,0.8866,-0.2443,2.8337,-0.1279,0.8866,-0.2443
23/08/2022 10:11,1073.4646,1061.9429,943.8604,981.662,1036.6912,1017.9996,849.8215,0.8871,-0.2443,2.8346,-0.1279,0.8871,-0.2443
23/08/2022 10:21,1073.2175,1062.0625,943.566,981.8516,0,0,849.9828,0.886,-0.2443,2.8346,-0.1279,0.886,-0.2443
23/08/2022 10:31,1073.3752,1062.187,944.0132,981.9349,1036.7827,1018.1266,850.0684,0.8864,-0.2443,2.8339,-0.1279,0.8864,-0.2443
23/08/2022 10:42,1073.3688,1062.1938,943.9342,981.967,1036.7527,1018.1682,850.1584,0.886,-0.2443,2.8344,-0.1279,0.886,-0.2443
23/08/2022 10:52,1073.4722,1062.3035,943.4073,982.0718,1036.7588,1018.1851,850.23,0.886,-0.2443,2.8348,-0.1279,0.886,-0.2443
23/08/2022 11:02,1072.8849,1062.6921,943.5692,982.5279,1037.0868,1018.4675,850.5451,0.886,-0.2443,2.8351,-0.1279,0.886,-0.2443
23/08/2022 11:12,1072.8025,1062.7258,943.3649,982.4438,1037.043,1018.5488,850.574,0.886,-0.2443,2.8348,-0.1279,0.886,-0.2443
23/08/2022 11:23,1072.6066,1062.9493,943.3765,982.4865,1037.0634,1018.6306,850.7405,0.8857,-0.2443,2.8353,-0.1279,0.8857,-0.2443
